0,lang
"Asalin hoton, NYSC",hausa
"Masu yi wa ƙasa hidima a Najeriya na ci gaba da darawa har kunne, tun bayan da gwamnatin ƙasar ta sanar da yi musu ƙari a kudin alawus ɗinsu.",hausa
"A ranar Laraba ne gwamnatin ƙasar ta sanar da yi wa masu yi wa ƙasa hidimar ƙari a alawus ɗinsu zuwa naira 77,000.",hausa
"Wata sanarwa da kakakin hukumar NYSC, Caroline Embu ta fitar, ta ce ƙarin zai soma aiki daga watan Yulin da ya gabata.",hausa
Sanawar ta ƙara da cewa an yi ƙarin alawus ɗin ne saboda ƙarin mafi ƙanƙantar albashi da gwamnatin Najeriya ta yi.,hausa
"Matakin ya yi wa masu yi wa ƙasa hidimar daɗi, kasancewar da ma sun jima suna kokawa kan buƙatar ƙara musu kuɗin alawus ɗin.",hausa
"A baya dai gwamnatin ƙasar kan biya masu yi wa ƙasar hidima naira 33,000 a matsayin kuɗin alawus na wata-wata, kuɗin da matasan ke cewa ba ya wadatar da su gudanar da harkokinsu la'akari da yanayin matsayin tattalin arziki da hauhawar farashin kayayyaki da ake fuskanta a ƙasar.",hausa
"Tun bayan fitar da labarin ƙarin kuɗin alawus ɗin, batun ya zama cikin abubuwan da aka fi tafka muhawara a kansa a shafukan sada zumunta.",hausa
Masu yi wa ƙasa hidimar sun yi ta bayyana mabambantan ra'ayoyi kan batun. Ga kuwa wasu daga cikin su da muka tattaro.,hausa
"Wannan labari ne na dauke da bayanai da Twitter suka bayar.  Muna neman amincewarku kafin mu dora muka, saboda nuna iya dauke da  wasu bayanai da aka iya adanawa. Watakila kana za ka so ka karanta Twitter da tsarin bayanan da za a adana da da tsarin sirri kafin ka amince. Idan kana son ganin wannan bayani ka zabi ‘amince sannan ka ci gaba’.",hausa
"Karshen labarin da aka sa a Twitter, 1",hausa
Babu karin bayanai,hausa
Sanata Shehu Sani tsohon ɗan majalisar dattawan Najeriya yabawa ya yi da sabon ƙarin da aka yi wa masu yi wa ƙasar hidima.,hausa
"''Ƙarin kuɗin alawus da aka yi wa masu yi wa ƙasa hidima zuwa naira 77,000, abin a yaba ne. Amma ya kamata a ƙara wa mata ya kai naira 100,000, duba da yadda suke shan wahala''.",hausa
"Asalin hoton, Facebook",hausa
Zahraddin Dawuud fatan alkairi ya yi wa sabbin masu yi wa ƙasa hidima da waɗanda ke dab da soma hidima wa ƙasar.,hausa
Daga nan kuma ya suburbuɗo taken shirin na NYSC.,hausa
"Shi kuwa Muhammad Kabir, shawara ya bai wa matasan da su yi amfani da sabon ƙarin kuɗin alawus ɗin ta hanyar da ta dace wajen samun sana'ar dogaro da kai.",hausa
"Asalin hoton, Facebook",hausa
"''Na kasance wanda ya yi wa ƙasa hidima a shekarun baya, kuma har yanzu ina amfana da kasuwancin da na kafa ta hanyar kuɗin alawus ɗin da na tara. Ku yi amfani da ɗan abin da kuka samu wajen dogaro da kanku. Da dama daga cikin waɗanda suka gama NYSC kan ciji yatsa, saboda rashin amfani da kuɗin da suka samu a lokacin wajen fara wata sana'ar dogaro da kai'', in ji shi.",hausa
"Shi ma Auwal Sadisu, mai amfani da shafin na Facebook, makamanciyar wannan shawara ya bai wa masu yi wa ƙasa hidimar.",hausa
"Asalin hoton, Facebook",hausa
"Ya ku masu yi wa ƙasa hidima,",hausa
"''A lokacin da na yi wa ƙasa hidima a 2016, na riƙa ajiye naira 10,000 daga cikin naira 19,800 da ake ba mu a lokacin. Daga nan na tara jarin da na fara sana'a a da shi''.",hausa
"''Wannan 77,000 kuɗi masu gwaɓi, idan kana da fikirar sarrafa kuɗi za ka iya tara yadda ka ga dama''.",hausa
"''Ka dai kawai ka kyautata niyya'', kamar yadda ya rubuta.",hausa
"Asalin hoton, Facebook",hausa
"Wata mai amfani da kafar Facebook, wadda da alama ke cikin shirin, mai suna Murjanatu Diri ta ce kuɗin aure za ta fara tarawa da sabon alawus ɗin.",hausa
"''Allah ya albarkaci Najeriya, ya kuma albarkaci shirin yi wa ƙasa hidima na NYSC'', kamar yadda ta rubuta a shafin.",hausa
"Asalin hoton, Facebook",hausa
"Wannan labari ne na dauke da bayanai da Twitter suka bayar.  Muna neman amincewarku kafin mu dora muka, saboda nuna iya dauke da  wasu bayanai da aka iya adanawa. Watakila kana za ka so ka karanta Twitter da tsarin bayanan da za a adana da da tsarin sirri kafin ka amince. Idan kana son ganin wannan bayani ka zabi ‘amince sannan ka ci gaba’.",hausa
"Karshen labarin da aka sa a Twitter, 2",hausa
Babu karin bayanai,hausa
"Shi kuwa wani da ke amfani da shafin X, tsokaci ya yi a ƙarƙashin sanarwar ƙarin da NYSC ta yi, inda yake tuna ninki biyu da kuɗin alawus ɗin da ake biya na wata biyun ƙarshe na shirin.",hausa
"inda ya ce ''wannan ninki biyun da ake biya na alawus wato naira 77,000 + 77,000 a ƙarshen hidimar''.",hausa
"To sai dai yayin da wasu ke yaba yawan kuɗin, wasu gani suke har yanzu kuɗin bai kai yadda ake buƙata ba.",hausa
Kamar yadda wasu masu amfani da shafin suka bayyana ra'ayinsu.,hausa
"Wannan labari ne na dauke da bayanai da Twitter suka bayar.  Muna neman amincewarku kafin mu dora muka, saboda nuna iya dauke da  wasu bayanai da aka iya adanawa. Watakila kana za ka so ka karanta Twitter da tsarin bayanan da za a adana da da tsarin sirri kafin ka amince. Idan kana son ganin wannan bayani ka zabi ‘amince sannan ka ci gaba’.",hausa
