0,links,lang
Mummunar ambaliya ruwa da ta auka wa birnin Maiduguri a farkon wannan makon na ci gaba da haifar da fargaba kan ƙarin annobar da za a iya fuskanta sakamakon ambaliyar.,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
Ɓallewar madatsar ruwa da Alau da ke wajen birnin na Maiduguri ce ta haifar da mummunar matsalar.,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"Gidaje da dama da motocin hawa sun nutse cikin ruwa, yayin da mutanen birnin suka koma zama a sansanonin 'yan gudun hijira.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
Ambaliyar ta shafe maƙabartu da dama inda ake fargabar ta tono tare da tafiya da gawarwaki da dama.,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"Wakilin BBC da ke birnin Maiduguri ya ce ya ga gawarwaki da idanunsa na yawo a cikin ruwa, sannan wasu gawarwakin sun fara ruɓewa a cikin ruwan.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"Haka nan ta cika tare da tafiya da kwatocin yankin da ta shafa, baya ga dagolon ba-haya da sauran ƙazanta mai yawan gaske da ambaliyar ta share.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
Wannan ne ma ya sa ake ƙara samun fargabar samun wasu annoba bayan wucewar ambaliyar.,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
Kan hakan ne muka yi nazarin wasu bala'o'i biyar da za ayi samu bayan ambaliyar ruwan da kuma matakan da ya kamata a bi domin kauce musu.,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
A duk lokacin da aka samu irin wannan ambaliya babban abin da ke biyo bayanta shi ne ɓarkewar cutuka masu alaƙa da gurɓatar ruwa da muhalli,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"Dakta Muhammad Salihu Kwaifa, wani ƙwararren likita ne a Abuja, ya ce akwai tarin cutuka da ake iya ɗauka sakamakon garwayar ƙazanta, kamar bahaya da dagolon kwata da kuma ruwan da ake amfani da shi.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"Haka kuma ya ce kasancewar samun ruwa da ƙazanta, yanayi ne da ke bai wa sauro damar hayayyafa da bazuwa cikin sauri, don haka akwai fargaɓar ɓarkewar cutuka masu alaƙa da sauro.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"Dakta Kwaifa ya ƙara da cewa baya ga waɗanann akwai kuma wasu cutuka da za a iya ɗauka sakamakon damuwar da mutane suka faɗa, musamman idan suka tuna irin hatsarar da suka yi.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"''A lokaci guda mutum mai rufin asiri wanda ya fi ƙarfin buƙatunsa, ya dawo mai tsananin buƙatar taimakon abin da a baya ya fi ƙarfinsa, haƙiƙa wannan yanayi ne da ke jefa mutane cikin hatsarin kamuwa da cutuka masu alaƙa da damuwa'', in ji shi.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"ƙwararren likitan ya zayyano wasu cuta da yake ganin za a iya ɗauka a irin wannan yanayi, kamar haka.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
Baya ga cutukan da za  aiya ɗauka daga ambaliya takan kuma haifar da samun raunuka sakamakon yawon da mutane suke yi cikin ruwa ba tare da sanin inda za su taka ƙafarsu ba.,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
Likitan ya zayyano hanyoyin da ya kamata a bi domin kauce wa fuskantar waɗannan cutuka.,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"Ya ce babban abin da ya kamata a yi da farko shi ne samar wa da mutane matsugunai masu inganci, waɗanda babu ruwana cikinsu.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"''Abu na gaba shi ne samar musu da ruwan sha mai tsafta, idan babu damar hakan to ya kasance mutanen sun riƙa tafasa ruwan da za su sha kafin su yi amfani da shi'', in ji shi.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
Sauran matakan sun haɗar da:,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"Asalin hoton, Getty Images",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"Gwamnatin jihar Maiduguri ta ce ambaliya ta shafi kusan mutum miliyan biyu, waɗanda galibinsu ke zaune a sansanonin kula da 'yan gudun hijira.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
Wakilin BBC da ke birin Maiduguri ya ce kawo yanzu an buɗe sansanonin 'yan gudun hijira biyar domin tsugunar da mutanen da suka rasa gidajensu.,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"To sai dai a duk lokacin da ka yi maganar zama a sansanin 'yan gudun hijira, babban abin da ke zama barazana ga mazuna wurin shi ne yunwa, sakamakon rashin wadattacen abincin da mazauna wurin za su ci.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
Kawo yanzu dai gwamnatin jihar tare da haɗin gwiwar hukumar bayar da agajin gaggauta ta ƙasa NEMA ta da Jihar SEMA sun fara raba wa mazauna sansanonin abinci.,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
To sai dai wasu mazauna wurin da BBC ta zanta da su sun koka kan halin yunwa da suke ciki tare da 'ya'yansu.,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"''Tun jiya muka zo nan ni da 'ya'yana, amma haka muka kwana ko loma ɗaya ba mu samu ba, sai yau', kamar yadda wata mata ta shaida wa BBC.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
Kan haka ne Dakta Kwaifa ya ce akwai fargaɓar ɓarkewar cutar tamowa musamman ga ƙanana yaran da ke zaune a waɗannan wurare.,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"''Cuta ce da ke yi wa garkuwar bil-adama rauni sosai, ta yadda zai riƙa kamuwa da cutuka iri-iri cikin sauƙi, kasancewar garkuwar jikinsa ba ta da ƙarfin da za ta yaƙi ƙwayoyin cutar da za su kawo masa hari'', in ji Likitan.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
Dama dai jihar Borno na daga cikin jihohin arewacin ƙasar da ke fama da matsalar tamowa da ake samu sakamakon rashin samun abinci mai gina jiki.,https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"Abin da ya kamata a yi domin kauce wa wannan matsala, shi ne a samar wa mutanen wadataccen abinci a sansanonin da aka ajiye su.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"Dakta Kwaifa ya ce ''dole ne gwamnati da hukomomin bayar da agaji su tallafa wa jama'a da wadattacen abinci mai gina jiki, musamman domin kauce wa kamuwa cutar tamowa ga ƙanananan yara.",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
"Asalin hoton, AFP",https://www.bbc.com/hausa/articles/czxv2g326qpo,hausa
