0,lang,links
"Asalin hoton, NPF",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Ɓullar ƙungiyar ƴanbindiga ta Lakurawa a jihar Sokoto duk da cewa ba sabuwa ba ce ta sa mutane da dama suna nuna damuwarsu kan yadda ƙungiyoyin ƴanbindiga ke yada zango a arewacin Najeriya, da kuma yadda suke samun tasiri wajen samun mambobi daga yankin, lamarin da masana harkokin tsaro suke ganin ba ya rasa nasaba da rashin aikin yi a tsakanin matasa da sauyin yanayi.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"A farkon wannan watan na Nuwamba ne aka samu labarin ƴan ƙungiyar ta Lakurawa sun kutsa yankunan jihohin Sokoto da Kebbi, inda har suka kashe wasu mutane.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Rahotanni sun nuna cewa sun taso ne daga ƙasashen Nijar da Mali, kuma a cikinsu akwai ƙabilu  daban-daban na yankin Sahel, inda suke wa'azi da suka kamamceceniya da na Boko Haram, musamman ƙin karatun boko da adawa da jami'an tsaron Najeriya.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Kafin Lakurawa, an samu ɓullar wasu ƙungiyoyin na ƴanbindiga a arewacin Najeriya, inda wasu baƙi ne, wasu kuma ƴan yankin ne, inda suke addabar mutane da sace-sace da kashe-kashe da sauran ta'addanci, lamarin da ke jefa yankin cikin zullumi da rashin tabbas.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"An yi ƙungiyoyin ƴanbindiga da dama a arewacin Najeriya, amma fitattun ciki waɗanda suka fi yin tasiri wajen illata yankin su ne:",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Asalin hoton, US DEPARTMENT OF STATE",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Kasancewar a kudancin Najeriya ma a kan samu rikice-rikice na ƴanbindiga, sai dai yawanci ba su cika yin tasiri ba, kuma mafi akasarinsu na ƙabilanci ne, ko kuma na rikicin dabanci ba sa daɗewa kamar a arewa.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Wannan ya sa BBC ta tuntuɓi Dr Kabiru Adamu, shugaban kamfanin Beacon Security and Intelligence Limited mai nazari kan harkokin tsaro a Afirka ta Yamma da yankin Sahel, wanda ya bayyana cewa yawanci matsalolin suna da alaƙa ne da ɗumamar yanayi da rashin aikin yi da sauransu.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"A cewarsa, ""Akwai ɗumamar yanayi da gusowar hamada da ƙafewar tafkin Chadi da sauran tekuna da ke yankin arewacin ƙasar, ga kuma yawaitar dazuzzuka da tsaunuka waɗanda yawanci babu ikon gwamnati a wuraren, wanda hakan ya sa ƴanbindiga ke iya samun damar kafa sansani a wuraren,"" in ji shi.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Dokta Kabiru ya ƙara da cewa sauyin yanayin ne ya taimaka wajen ta'azzarar matsalar rikicin manoma da makiyaya.,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"A cewarsa, ""Haka kuma akwai matsalolin da suke faruwa na yaƙe-yaƙe a ƙasashen da suke da maƙwabtaka da Najeriya ta arewaci, musamman a ƙasashen Sahel irin su Libya da Mali da ma Sudan waɗanda dukansu sun yi fama da yaƙi. Ka ga a Libya ma an fasa rumbun bindigoginta, aka kwashe su kuma yawancin bindigogin nan Najeriya aka kawo su.""",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"A game da yadda ƙungiyoyin suke yawan alaƙanta kansu da addini kuwa, masanin harkokin tsaron ya ce akwai ƙungiyoyi masu alaƙa ko kuma suke ikirarin jihadi irin su Alqaeda da suke da mabiya a yankin, ""Misali ƙungiyar Iswap da ke mubaya'a ga ƙungiyar IS. Wannan na faruwa ne kasancewar akwai ƙungiyoyi da dama da suke da alaƙa da manyan ƙungiyoyin na duniya, kuma ɓarauniyar hanyoyi da da ake safarar makamai, kuma jagororin ƙungiyoyin suke tafiye-tafiye ta ciki,"" in ji shi.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Ya ƙara da cewa lamarin ya zo ne ya dace da yankin, ""kasancewar yankin arewa akwai fahimtar addini sosai, shi ya sa suke samun sauƙin amfani da addini.""",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Ya ce akwai kuma danniya da rashin adalcin gwamnati, musamman a arewa wanda ya haifar da giɓi ga kuma taɓarɓarewar tattalin arziki, ""wanda ya sa ƴanbindigar suke amfani da kuɗi suna shigar da matasa cikin ƙungiyoyin,"" in ji shi, sannan ya ƙara da cewa rashin tsarin bibiya da tattara bayanan sirri sun taimaka musamman a karkara.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Game da dalilin da ya sa ba a cika samun irin waɗannan kungiyoyin a kudancin ƙasar ba, Dr Kabiru ya ce duk da cewa suma suna da matsalar sauyin yanayi, musamman gusowar teku da zaizayar ƙasa, ""matsalolin ba su yi ƙamari ba kamar a arewa. Sannan yankunan kudu ba su kai arewa talauci ba, sannan kuma suna da jami'an tsaronsu. Ka ga misali akwai Amotekun da ke samar da tsaro a yankin kudu maso yamma da sauran ire-irensu a yankin kudancin ƙasar.""",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Ganin yadda waɗannan ƙungiyoyin ake kallon suna samun sauƙin shigowa arewa, da sauƙin samun mafaka, ya sa hankalin mutane na tashi a kan yiwuwar samun wasu ƙungiyoyin a nan gaba.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
A game da wannan ne Dr Kabiru ya ce akwai wasu hanyoyi da ya kamata jihohin yankin su bi domin kiyaye aukuwar hakan.,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
A cewarsa akwai tanade-tanade guda uku da aka yi a ƙasa fuskantar wannan matsala.,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Ya ce, ""akwai na tsarin hana yaɗuwar ta’addanci wanda ake kira National Counter-Terrorism Strategy (NACTEST), wanda aka tsara hanyoyin da za a amfani da ƙarfi. Akwai na Framework on preventing and countering violent extremism wanda aka yi domin hana yaɗuwar ta’addanci ta hanyoyi ba na ƙarfi ba. Na uku kuma akwai Terrorism Prevention and Prohibition Act.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"""Waɗannan tanade-tanaden duk jihar da ke son yaƙi da ta’addanci ba sai ta ƙirƙiri wata sabuwa ba. Kawai ta haɗa kai da gwamnatin tarayya da wasu ƙungiyoyin duniya irin su bankin duniya. Sannan majalisar ƙasa da ta jihohi suna da rawar da za su taka domin tabbatar da ɓangaren zartarwa suna amfani da tanade-tanade.""",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Ya ce a ƙarƙashin waɗannan tanade-tanaden, akwai abubuwa biyar da ake so a cimmawa waɗanda ya zayyano su:",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
© 2024 BBC. BBC ba za ta dauki alhakin abubuwan da wasu shafukan daban suka wallafa ba.  Karanta hanyoyin da muke bi dangane da adireshin waje.,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Me ya sa ƴanbindiga ke samun wurin zama a arewacin Najeriya?,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"KAI TSAYE, An maka ministan Abuja a kotu kan 'kama mabarata'",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Yadda ƙudurin dokar haraji zai shafi rayuwar talakan Najeriya,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Ukraine ta kai wa Rasha hari da makamin Birtaniya - BBC,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Me ya sa kasafin kuɗin Najeriya ke dogaro da bashi?,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Ƴan ciranin Amurka na fatan masu laifi kaɗai Trump zai kora daga ƙasar,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Abin da masana suka fahimta da matakin Tinubu na naɗa masu magana da yawunsa uku,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Cocin Katolika a Kenya ya ƙi karɓar kyautar dala 40,000 daga shugaban ƙasar",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Majalisar malaman Musulunci ta nemi a dakatar da ƙudurin harajin Tinubu,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Hikayata 2024: Labarai 15 da suka yi fice a bana,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Saƙon da Mahamat Deby ya ce mu faɗa wa Tinubu game da Boko Haram - Ribadu,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Asalin hoton, Getty Images",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Liverpool da Newcastle  na son dan wasan baya na Kamaru mai taka leda Brentford  Bryan Mbeumo mai shekara 25. (Sun),hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Manchester City na sahun gaba a masu son dan wasan Bayer Leverkusen Florian Wirtz, inda su ma kungiyoyin Real Madrid da Liverpool na cikin masu zawarcin dan wasan na Jamus. (Caught Offside)",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Dan wasan baya na Santos, Joao Victor de Souza, 18, na daga cikin wadanda kungiyar Chelsea ke so, sai dai da alama ita ma kungiyar Barcelona na zawarcin dan wasan dan asalin ƙasar Brazil. (AS - in Spanish)",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Mai tsaron gida na Ivory Coast mai taka leda a Sporting Ousmane Diomande, mai shekara 20, na tattaunawa da kocin Manchester United Ruben Amorim domin sake hadewa da shi a  Old Trafford. (Metro)",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Jorge Mendes na kokarin ganin an cimma matsaya kan dan wasan Portugal mai taka leda a Sporting Geovany Quenda, wanda Manchester United ma ke zawarcinsa. (Teamtalk)",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Dan wasan tsakiya na Norway, mai taka leda a Rosenborg Sverre Nypan, mai shekara 17, ba zai koma Manchester United ba har sai an bashi tabbacin kan rawar da zai taka a kungiyar. (Give Me Sport)",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Tsohon manajan riko na Manchester United  Ruud van Nistelrooy, na son zama a kungiyar ta gasar  Premier, a daidai lokacin da ake tsaka da hasasshen kungiyoyin  Southampton da Wolves da kuma Crystal Palace na son daukar shi. (Football Insider)",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"West Ham ta shirya domin sayar da dan wasa  Guido Rodriguez, mai shekara 30, a watan Junairu, inda ake sa ran zai koma tsohuwar kungiyarsa ta Real Betis. (Estadio Deportivo - in Spanish)",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Liverpool ka iya sanya fam miliyan 17 kan dan wasan tsakiya na Faransa  Rayan Cherki, mai shekara 21,  inda ita kuma kungiyar Lyon tagabatar da tayin fam miliyan 29. (TBR)",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
© 2024 BBC. BBC ba za ta dauki alhakin abubuwan da wasu shafukan daban suka wallafa ba.  Karanta hanyoyin da muke bi dangane da adireshin waje.,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Me ya sa ƴanbindiga ke samun wurin zama a arewacin Najeriya?,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"KAI TSAYE, An maka ministan Abuja a kotu kan 'kama mabarata'",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Yadda ƙudurin dokar haraji zai shafi rayuwar talakan Najeriya,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Ukraine ta kai wa Rasha hari da makamin Birtaniya - BBC,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Me ya sa kasafin kuɗin Najeriya ke dogaro da bashi?,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Ƴan ciranin Amurka na fatan masu laifi kaɗai Trump zai kora daga ƙasar,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Abin da masana suka fahimta da matakin Tinubu na naɗa masu magana da yawunsa uku,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Cocin Katolika a Kenya ya ƙi karɓar kyautar dala 40,000 daga shugaban ƙasar",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Majalisar malaman Musulunci ta nemi a dakatar da ƙudurin harajin Tinubu,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Hikayata 2024: Labarai 15 da suka yi fice a bana,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Saƙon da Mahamat Deby ya ce mu faɗa wa Tinubu game da Boko Haram - Ribadu,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Asalin hoton, VICTOR DE SCHWANBERG/SPL",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Hukumar kare haƙƙin masu sayayya ta Najeriya, wato Consumer Protection Commission, ta gano wani nau'in sikari mara inganci, wanda ba a yi wa rajista ba, da ake sayarwa a kasuwannin ƙasar, musamman ma a shiyyoyin kudu maso yamma da arewa maso gabas na Najeriyar.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Hukumar ta ce tana ƙoƙarin shawo kan lamarin, kamar yadda ta bayyana a wata sanarwa da ta fitar.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Sanarwar da hukumar kare haƙƙin masu sayayyar ta Najeriya, ta wallafa a shafinta na X, ta ce sikarin mara ingancin da ta bankaɗo a wasu kasuwannin ƙasar, wasu kamfanoni ne suka yi satar shigar da shi daga ƙasar Brazil.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Hukumar ta yi nuni cewa an gano sikarin ba ya ɗauke da sinadarin vitamin A da ake matuƙar buƙatar ya ƙunsa, wanda kuma muhimmin abu ne ga inganta lafiyar ido, da kare garkuwar jiki, da kuma kyautata lafiyar bil'Adama.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Hakan ne ma ya sa wannan sukari yake da haɗari ga lafiyar jama'a, baya ga kassara ƙimar kamfanonin sikari na gida, da kuma dama lissafin farashin sukari a ƙasar.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Wasu bayanan sirri da aka kwarmata wa hukumar ne suka kai jami'anta ga gudanar da cikakken bincike a tsanake a sassan Najeriya, musamman a  yankunan kudu maso yamma da arewa maso gabas na ƙasar.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Binciken ya gano cewa, mafi yawan sukarin da aka tantance ba shi da wata tartibiyar alama da za a iya shaida sahihancinsa, ciki kuwa har da rashin kwanan watan da aka sarrafa shi da kuma ranar da zai surace.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Sikarin kuma ba shi da rajistar nan ta hukumar NAFDAC da akan wajabta yi wa kayan abinci da magunguna da na masarufi da dai sauransu.,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Hukumar kare haƙƙin masu sayayyar ta Najeriyar dai ta lashi takobin bin dukkan matakan da suka kamata, wajen ganin ta dakile bazuwar wannan sukari da ma sauran wasu abubuwa marasa inganci da ake sayarwa a kasuwannin Najeriya.",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
© 2024 BBC. BBC ba za ta dauki alhakin abubuwan da wasu shafukan daban suka wallafa ba.  Karanta hanyoyin da muke bi dangane da adireshin waje.,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Me ya sa ƴanbindiga ke samun wurin zama a arewacin Najeriya?,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"KAI TSAYE, An maka ministan Abuja a kotu kan 'kama mabarata'",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Yadda ƙudurin dokar haraji zai shafi rayuwar talakan Najeriya,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Ukraine ta kai wa Rasha hari da makamin Birtaniya - BBC,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Me ya sa kasafin kuɗin Najeriya ke dogaro da bashi?,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Ƴan ciranin Amurka na fatan masu laifi kaɗai Trump zai kora daga ƙasar,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Abin da masana suka fahimta da matakin Tinubu na naɗa masu magana da yawunsa uku,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
"Cocin Katolika a Kenya ya ƙi karɓar kyautar dala 40,000 daga shugaban ƙasar",hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Majalisar malaman Musulunci ta nemi a dakatar da ƙudurin harajin Tinubu,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
Hikayata 2024: Labarai 15 da suka yi fice a bana,hausa,https://www.bbc.com/hausa/articles/cx2l14k0p10o
